ID,Name,spacegroup,a,b,c,alpha,beta,gamma,volume,volume/atom,band_gap,density,e_above_hull,e_above_hull/atom,efermi,energy,energy/atom,final_energy_per_atom,formation_energy_per_atom,nelements,nsites
mp-1002124,HfC,216,3.565663725879096,3.565663725879096,3.565663725879096,60.00000000000001,60.00000000000001,60.00000000000001,32.05576538618289,16.027882693091446,0.5773999999999999,9.868235893097628,0.6414215250000002,0.3207107625000001,3.57847278,-19.78075947,-9.890379735,-9.890379735,-0.29840244000000027,2,2
mp-1007776,TlP,216,4.327493500861671,4.327493500861671,4.327493500861671,60.00000000000001,60.00000000000001,60.00000000000001,57.305232000000004,28.652616000000002,0.12659999999999982,6.819963595142556,0.2337322204999981,0.11686611024999904,4.19022672,-7.33705287,-3.668526435,-3.668526435,0.21894295571428568,2,2
mp-1007778,TlN,216,3.727866950415479,3.727866950415479,3.727866950415479,60.00000000000001,60.00000000000001,60.00000000000001,36.632470912,18.316235456,0.08499999999999996,9.899554076653324,0.7225676238100007,0.36128381190500036,5.03999716,-8.86898986,-4.43449493,-4.43449493,0.7225676238100007,2,2
mp-1009540,OsC,216,3.2614805307482673,3.2614805307482673,3.2614805307482673,60.00000000000001,60.00000000000001,60.00000000000001,24.53179762202897,12.265898811014486,0.17010000000000058,13.689521998378321,0.7182718950000009,0.35913594750000044,6.59803494,-19.01756048,-9.50878024,-9.50878024,0.7182718950000009,2,2
mp-1009639,PrN,216,3.9353476363647975,3.9353476363647975,3.9353476363647975,59.99999999999999,59.99999999999999,59.99999999999999,43.09573678425938,21.54786839212969,1.7765000000000004,5.969066764996172,0.11656502000000035,0.058282510000000176,2.39828455,-15.44626306,-7.72313153,-7.72313153,-1.3564458636899994,2,2
mp-1009746,ScP,216,4.196311050815942,4.196311050815942,4.196311050815942,60.00000000000001,60.00000000000001,60.00000000000001,52.250207599582836,26.125103799791418,1.6774999999999998,2.4130849576224254,0.5300282250000006,0.2650141125000003,1.74802947,-13.66505183,-6.832525915,-6.832525915,-0.9596484317857144,2,2
mp-1009750,ScN,216,3.4617190290446738,3.4617190290446738,3.4617190290446738,60.00000000000001,60.00000000000001,60.00000000000001,29.33326787881636,14.66663393940818,2.5166000000000004,3.337838835388863,0.3026731199999997,0.15133655999999984,2.4565129,-17.88778367,-8.943891835,-8.943891835,-1.80142118869,2,2
mp-1009792,RuC,216,3.2287061314402714,3.2287061314402714,3.2287061314402714,60.00000000000001,60.00000000000001,60.00000000000001,23.799649297276936,11.899824648638468,0.7149000000000001,7.8898187819078105,0.4535905099999997,0.22679525499999986,6.0061168,-17.59397791,-8.796988955,-8.796988955,0.4535905099999997,2,2
mp-1009894,ZrC,216,3.6105947049692517,3.6105947049692517,3.6105947049692517,60.00000000000001,60.00000000000001,60.00000000000001,33.28290496338164,16.64145248169082,0.5468999999999999,5.150549585961192,0.6132600900000007,0.30663004500000035,3.21945655,-18.15791385,-9.078956925,-9.078956925,-0.19172170000000044,2,2
mp-1056920,CsI,221,4.665212,4.665212,4.665212,90.0,90.0,90.0,101.53462102910083,50.76731051455042,4.2301,4.249038611978414,0.032498469999999724,0.016249234999999862,0.42705943,-5.44628095,-2.723140475,-2.723140475,-1.5134347564655173,2,2
mp-1057286,CsH,225,4.557559177402088,4.557559177402088,4.557559177402088,59.99999999999999,59.99999999999999,59.99999999999999,66.9394209884833,33.46971049424165,2.5878,3.3219351991276365,0.0,0.0,0.0163941,-4.55430444,-2.27715222,-2.27715222,-0.2095827032755171,2,2
mp-10759,GeSe,225,4.006270446517808,4.006270446517808,4.006270446517808,60.00000000000001,60.00000000000001,60.00000000000001,45.467993810986975,22.733996905493488,0.4400999999999997,5.536591817599165,0.0,0.0,3.86470199,-8.53162882,-4.26581441,-4.26581441,-0.2091028561718753,2,2
mp-1138,LiF,225,2.887419629287021,2.887419629287021,2.887419629287021,60.00000000000001,60.00000000000001,60.00000000000001,17.0221618630938,8.5110809315469,8.7195,2.530430195901122,0.0,0.0,-2.20746757,-9.69029102,-4.84514551,-4.84514551,-3.1804090164283334,2,2
mp-1156,GaSb,216,4.397540912819573,4.397540912819573,4.397540912819573,60.00000000000001,60.00000000000001,60.00000000000001,60.13324881486594,30.06662440743297,0.36549999999999994,5.287673763789086,0.0,0.0,3.75817759,-7.4702454,-3.7351227,-3.7351227,-0.15657794749999976,2,2
mp-1172873,GeTe,160,4.158602293137082,4.158602293137082,4.158602107295191,75.8451892329647,75.8451892329647,75.8451997494953,66.2997493282702,33.1498746641351,0.9104999999999999,5.015197584679304,0.1256709449999991,0.06283547249999955,4.12011558,-7.69943065,-3.849715325,-3.849715325,0.030690954999999853,2,2
mp-1219182,SiGe,216,3.954889239369669,3.954889239369669,3.954889239369669,59.99999999999999,59.99999999999999,59.99999999999999,43.74092648009269,21.870463240046345,0.8585000000000003,3.823847394474847,0.02402538750000094,0.01201269375000047,4.00900792,-9.99285151,-4.996425755,-4.996425755,0.02402538750000094,2,2
mp-13099,YN,216,3.744827613669019,3.744827613669019,3.744827613669019,60.00000000000001,60.00000000000001,60.00000000000001,37.13474908481051,18.567374542405254,2.2998,4.601897519978835,0.2477099099999993,0.12385495499999966,2.0619712,-17.68123826,-8.84061913,-8.84061913,-1.631345707856667,2,2
mp-1784,CsF,225,4.326086358367109,4.326086358367109,4.326086358367109,59.99999999999999,59.99999999999999,59.99999999999999,57.24934948288885,28.624674741444426,5.281,4.406028855159094,0.0,0.0,-1.30820247,-8.03004591,-4.015022955,-4.015022955,-2.8570467020605173,2,2
