,ID,pf_log,var:boiling_point,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:num_unfilled,min:electron_affinity,min:lattice_constant
0,mp-998899,-1.296849899,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
1,mp-938,7.45248221,846400.0,1.0,0.0,0.0,4,1.232712,4.45
2,mp-866291,5.546150103,1158959.903,0.25,0.25,0.25,1,1.302,4.09
3,mp-830,-4.58489061,1688180.49,1.0,0.0,0.0,5,-1.4,4.039
4,mp-749,3.644443434,986644.89,2.25,0.0,0.0,8,-1.4,4.039
5,mp-708,1.622607117,2036329.0,2.25,0.0,0.0,9,0.47,3.75
6,mp-684580,4.72625908,1027689.063,0.25,0.25,0.25,1,1.302,4.09
7,mp-632319,2.645260485,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
8,mp-614603,4.724165764,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
9,mp-573697,5.847999076,127092.25,0.25,0.25,0.25,1,0.471626,6.05
10,mp-571222,6.021914009,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
11,mp-571102,0.854782815,404814.0625,4.0,0.0,0.0,5,0.377,3.46
12,mp-570276,0.767016123,3010225.0,0.0,0.0,0.0,8,0.426,2.66
13,mp-569639,0.754431645,556068.49,4.0,0.0,0.0,5,0.377,3.46
14,mp-568560,0.584422214,488670.9025,4.0,0.0,0.0,5,0.377,3.46
15,mp-505366,5.220521292,1888013.403,0.25,0.25,0.25,1,2.30863,4.08
16,mp-422,1.525323604,1594128.458,1.0,0.0,0.0,2,-2.4,2.29
17,mp-343,4.954939702,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
18,mp-2857,-4.195707988,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
19,mp-2667,2.651187199,1132521.64,0.0,0.0,0.0,1,0.471626,4.08
20,mp-2612,8.401037168,846400.0,1.0,0.0,0.0,4,1.232712,4.45
21,mp-2599,6.075962257,2662771.24,2.25,0.0,0.0,10,-1.4,3.66
22,mp-256,4.234115302,3335371.69,2.25,0.0,0.0,9,-1.4,3.75
23,mp-2534,5.596482922,810000.0,1.0,0.0,0.0,5,0.43,4.13
24,mp-252,5.743352129,980100.0,1.0,0.0,0.0,2,-2.4,2.29
25,mp-2490,6.125942697,1126782.25,1.0,0.0,0.0,5,0.43,4.51
26,mp-24721,5.190729822,221238.5296,0.0,0.0,0.0,1,0.48592,3.75
27,mp-23703,7.272935717,301329.6342,0.0,0.0,0.0,1,0.618049,3.49
28,mp-23303,6.347863324,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
29,mp-23302,6.790594545,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
30,mp-23299,6.140565427,130465.44,0.25,0.25,0.25,1,0.48592,5.59
31,mp-23295,5.739210015,130465.44,0.25,0.25,0.25,1,0.48592,5.59
32,mp-23231,7.048244698,1158959.903,0.25,0.25,0.25,1,1.302,4.09
33,mp-23197,2.693524216,404814.0625,4.0,0.0,0.0,5,0.377,3.46
34,mp-23167,2.209501423,556068.49,4.0,0.0,0.0,5,0.377,3.46
35,mp-22925,4.869353136,1027689.063,0.25,0.25,0.25,1,1.302,4.09
36,mp-22922,7.103118268,1261578.24,0.25,0.25,0.25,1,1.302,4.09
37,mp-22906,6.42675763,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
38,mp-22903,5.673760252,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
39,mp-22899,6.716281771,109114.6056,0.25,0.25,0.25,1,0.618049,3.49
40,mp-22875,2.985448528,488670.9025,4.0,0.0,0.0,5,0.377,3.46
41,mp-22867,4.983096861,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
42,mp-22865,6.240985957,127092.25,0.25,0.25,0.25,1,0.471626,6.05
43,mp-2175,1.651287765,676498.025,4.0,0.0,0.0,5,0.377,3.46
44,mp-2114,-2.859577339,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
45,mp-20411,5.746351115,1294588.84,1.0,0.0,0.0,5,-1.4,4.039
46,mp-20351,6.04035339,810000.0,1.0,0.0,0.0,5,0.3,4.59
47,mp-20305,5.733246493,545382.25,1.0,0.0,0.0,5,0.3,4.13
48,mp-18536,-0.741155037,1079991.0,0.1875,0.1875,0.1875,1,1.302,4.09
49,mp-1784,8.332613242,187744.557,0.25,0.25,0.25,1,0.471626,5.631000059
50,mp-13099,3.681975781,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
51,mp-1219182,5.92220181,56406.25,0.0,0.0,0.0,4,1.232712,5.43
52,mp-1172873,6.638556523,846400.0,1.0,0.0,0.0,4,1.232712,4.45
53,mp-1156,4.495900708,147456.0,1.0,0.0,0.0,5,0.43,4.51
54,mp-1138,-1.531359141,266844.5649,0.25,0.25,0.25,1,0.618049,3.49
55,mp-10759,5.073524157,1150149.003,1.0,0.0,0.0,4,1.232712,4.36
56,mp-1057286,4.548510095,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
57,mp-1056920,5.206205582,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
58,mp-1009894,-0.583105417,50625.0,4.0,0.0,0.0,8,0.426,3.23
59,mp-1009792,-0.551672895,214832.25,4.0,0.25,0.25,4,1.05,2.7
60,mp-1009750,6.727610895,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
61,mp-1009746,5.85925426,1626900.25,2.25,0.0,0.0,9,0.188,3.31
62,mp-1009639,3.156019719,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
