,descriptor_name,pearson_correlation,pearson_pvalue,pearson_selection,spearman_correlation,spearman_pvalue,spearman_selection,distance_correlation,distance_selection,mic_correlation,mic_selection,sum_1,sum_2,sum_3,sum_4,sum
0,T,0.2103518568208905,2.1179728204018036e-05,1,0.3152001468577815,1.0089196033084565e-10,1,0.2810064249886704,0,0.24784890236762094,1,1,1,1,0,3
1,spacegroup,-0.04809495788695538,0.3361225092123624,0,-0.06942111214186526,0.16476244601282714,0,0.11480126809251551,0,0.1514110198168291,1,1,0,0,0,1
2,a,0.15054366179948594,0.0024760201728252066,0,0.1294068389759453,0.009391882481140758,0,0.2652650449608125,0,0.4805290736334733,1,1,0,0,0,1
3,b,0.15054366179948594,0.0024760201728252066,0,0.1294068389759453,0.009391882481140758,0,0.2652650449608125,0,0.4805290736334733,1,1,0,0,0,1
4,c,0.048366936066535235,0.3333938114056365,0,0.13129891063507673,0.00839497663038509,0,0.21222444346522581,0,0.4769477015108471,1,1,0,0,0,1
5,alpha,0.0074957546879602915,0.8809038437056326,0,-0.11017639787771412,0.02718300366786579,0,0.11505817593345308,0,0.20448833792455945,1,1,0,0,0,1
6,beta,0.0074957546879602915,0.8809038437056326,0,-0.11017639787771412,0.02718300366786579,0,0.11505817593345308,0,0.20448833792455945,1,1,0,0,0,1
7,gamma,-0.01405778268347745,0.7787150994148527,0,-0.12283310982172149,0.013721742696451603,0,0.1334828677995067,0,0.20448833792455945,1,1,0,0,0,1
8,volume,0.06059971440969933,0.22537786040199403,0,0.09548255942153556,0.055769771584710345,0,0.1976366274948412,0,0.44685779256298097,1,1,0,0,0,1
9,volume/atom,0.14385537865898018,0.0038480347293151774,0,0.1323519089222325,0.007882008176476722,0,0.2315457958743469,0,0.46322558855222457,1,1,0,0,0,1
10,band_gap,0.0870294751419336,0.08136679982535175,0,0.19095403465057473,0.00011706184714506586,0,0.24640672921137818,0,0.5372021124303881,1,1,0,0,0,1
11,density,-0.09522784111141347,0.05642946182172157,0,-0.28711605507213817,4.55614785644655e-09,1,0.3574827827802824,1,0.49699630735049927,1,1,1,1,0,3
12,e_above_hull,0.04885007706914309,0.328581786437403,0,0.06233839335599258,0.212323369715498,0,0.12292627512671102,0,0.33186675288065537,1,1,0,0,0,1
13,efermi,-0.10653458552555886,0.03272500439832193,0,-0.12708580906720407,0.010757554098869176,0,0.24490247956273836,0,0.42703680823864526,1,1,0,0,0,1
14,energy,0.08109066367779488,0.10448800569064627,0,0.110653493691326,0.02652049253563823,0,0.25704980335441696,0,0.4599201831723845,1,1,0,0,0,1
15,energy/atom,0.12659250717565437,0.011069515784517299,0,0.09422782883094576,0.05908225249509648,0,0.2668918392368068,0,0.48352175514710216,1,1,0,0,0,1
16,final_energy_per_atom,0.12659250717565437,0.011069515784517299,0,0.09422782883094576,0.05908225249509648,0,0.2668918392368068,0,0.48352175514710216,1,1,0,0,0,1
17,formation_energy_per_atom,0.039419104829093755,0.43058212540387425,0,0.09960033693393941,0.045963638471108605,0,0.18504151722041629,0,0.5447315013900325,1,1,0,0,0,1
18,nsites,-0.017732491101659833,0.7229970924739211,0,-0.05316908140193924,0.28756904672636624,0,0.10936887078467186,0,0.14140655443371988,1,1,0,0,0,1
19,ave:atomic_number,0.02794581454343132,0.5763827233729588,0,-0.030735936892790843,0.5388982818633539,0,0.22366086751166345,0,0.3673585121036122,1,1,0,0,0,1
20,ave:atomic_radius,0.16615522252312814,0.0008248938719242992,1,0.10332142583763336,0.03838850822728253,0,0.263283018938571,0,0.46224112233031667,1,1,1,0,0,2
21,ave:atomic_radius_rahm,0.08618488583097414,0.08437742788612541,0,0.07643378270679502,0.1260267860951067,0,0.1620265277371797,0,0.46679177247287545,1,1,0,0,0,1
22,ave:atomic_volume,0.12760741864275427,0.010436184692907299,0,-0.018624795113249163,0.7096728776956822,0,0.26044317078081713,0,0.5459512148612176,1,1,0,0,0,1
