ID,pf_log,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence
mp-1009540,8.698265132,1000,13.689522,12.415,193,8,10000,6250000,0,4,0,0,5500,4,4,0,1.1,2.74,2
mp-2612,8.401037168,1000,6.131196697,12.28,208.5,6,846400,1440000,1,1,0,0,5300,4,4,0,1.232712,4.45,2
mp-1784,8.332613242,1000,4.406028855,14.349,245,2,187744.557,5062500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,5.631000059,1
mp-938,7.45248221,1000,5.909652336,12.28,208.5,6,846400,1440000,1,1,0,0,5300,4,4,0,1.232712,4.45,2
mp-23703,7.272935717,1000,0.824862689,9.501,146,2,301329.6342,100984.8072,0,0,0,0,3535.562136,1,0,1,0.618049,3.49,1
mp-22922,7.103118268,1000,5.356180845,14.01,193,2,1261578.24,22500,0,0.25,0.25,0.25,1500,1,1,1,1.302,4.09,1
mp-23231,7.048244698,1000,6.224582901,13.465,198,2,1158959.903,1102500,0,0.25,0.25,0.25,3300,1,1,1,1.302,4.09,1
mp-1002124,7.022009078,1000,9.868235893,10.94,196.5,12,34225,2102500,4,4,0,0,3400,8,4,0,0.014,3.2,2
mp-23302,6.790594545,1000,3.902306055,9.0635,250.5,2,63378.0625,302500,0,0.25,0.25,0.25,6000,1,1,1,0.48592,5.59,1
mp-1009750,6.727610895,1000,3.337838835,12.586,185,12,2290076.89,4410000,9,2.25,0,0,5500,9,3,0,-1.4,3.31,2
mp-22899,6.716281771,1000,4.06340629,9.671,190,2,109114.6056,1000000,0,0.25,0.25,0.25,4900,1,1,1,0.618049,3.49,1
mp-1172873,6.638556523,1000,5.015197585,12.28,208.5,6,846400,1440000,1,1,0,0,5300,4,4,0,1.232712,4.45,2
mp-22906,6.42675763,1000,4.168221274,9.889,264,2,96007.0225,1822500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1
mp-23303,6.347863324,1000,3.701679718,10.0285,244,2,98941.7025,1822500,0,0.25,0.25,0.25,6000,1,1,1,0.48592,5.59,1
mp-22865,6.240985957,1000,3.749127576,10.434,259,2,127092.25,5062500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1
mp-23299,6.140565427,1000,3.145937604,10.5735,239,2,130465.44,5062500,0,0.25,0.25,0.25,6000,1,1,1,0.48592,5.59,1
mp-2490,6.125942697,1000,4.006314015,11.86,183.5,8,1126782.25,3062500,1,1,0,0,5500,5,5,0,0.43,4.51,2
mp-2599,6.075962257,1000,7.627429946,11.26365188,197,13,2662771.24,16810000,12.25,2.25,0,0,9500,10,3,0,-1.4,3.66,2
mp-20351,6.04035339,1000,4.58162144,11.5615,186.5,8,810000,422500,1,1,0,0,3300,5,5,0,0.3,4.59,2
mp-571222,6.021914009,1000,3.485262633,9.889,264,2,96007.0225,1822500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1
mp-1219182,5.92220181,1000,3.823847394,11.565,210.5,8,56406.25,90000,0,0,0,0,5300,4,4,0,1.232712,5.43,2
mp-1009746,5.85925426,1000,2.413084958,10.186,197.5,12,1626900.25,3062500,9,2.25,0,0,5500,9,3,0,0.188,3.31,2
mp-573697,5.847999076,1000,3.175106447,10.434,259,2,127092.25,5062500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1
mp-20411,5.746351115,1000,6.628100894,13.9615,174,8,1294588.84,1000000,1,1,0,0,3300,5,5,0,-1.4,4.039,2
mp-252,5.743352129,1000,4.985107254,11.0415,179.5,2,980100,6502500,1,1,0,0,8000,2,2,0,-2.4,2.29,2
mp-23295,5.739210015,1000,2.671979177,10.5735,239,2,130465.44,5062500,0,0.25,0.25,0.25,6000,1,1,1,0.48592,5.59,1
mp-20305,5.733246493,1000,5.335683812,11.4365,189,8,545382.25,0,1,1,0,0,3300,5,5,0,0.3,4.13,2
mp-22903,5.673760252,1000,3.359968009,9.0635,250.5,2,63378.0625,302500,0,0.25,0.25,0.25,6000,1,1,1,0.48592,5.59,1
mp-2534,5.596482922,1000,5.053200624,11.735,186,8,810000,1210000,1,1,0,0,5500,5,5,0,0.43,4.13,2
mp-866291,5.546150103,1000,4.917995434,13.465,198,2,1158959.903,1102500,0,0.25,0.25,0.25,3300,1,1,1,1.302,4.09,1
mp-505366,5.220521292,1000,7.209653513,13.605,199.5,8,1888013.403,1210000,0,0.25,0.25,0.25,3300,1,1,1,2.30863,4.08,1
mp-1056920,5.206205582,1000,4.249038612,8.924,270.5,2,61033.7025,302500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1
mp-24721,5.190729822,1000,2.610597083,8.8935,206.5,2,221238.5296,1518363.496,0,0,0,0,6000,1,0,1,0.48592,3.75,1
mp-10759,5.073524157,1000,5.536591818,13.07,200.5,6,1150149.003,2402500,1,1,0,0,5300,4,4,0,1.232712,4.36,2
mp-22867,4.983096861,1000,3.164377303,10.0285,244,2,98941.7025,1822500,0,0.25,0.25,0.25,6000,1,1,1,0.48592,5.59,1
mp-343,4.954939702,1000,7.229507537,11.25801001,197.5,14,3436574.44,16810000,16,2.25,0,0,9500,11,3,0,-1.4,3.67,2
mp-22925,4.869353136,1000,5.324385941,12.5,204.5,2,1027689.063,3422500,0,0.25,0.25,0.25,4900,1,1,1,1.302,4.09,1
mp-684580,4.72625908,1000,5.320322249,12.5,204.5,2,1027689.063,3422500,0,0.25,0.25,0.25,4900,1,1,1,1.302,4.09,1
mp-614603,4.724165764,1000,3.554949583,8.924,270.5,2,61033.7025,302500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1
mp-1057286,4.548510095,1000,3.321935199,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1
mp-1156,4.495900708,1000,5.287673764,11.065,196.5,8,147456,1440000,1,1,0,0,7900,5,5,0,0.43,4.51,2
