pf_log,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
-2.86,1000,5.742757452,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,13.30724634,1,1292.188596
-2.743,600,6.979307319,13.29519502,197,6,404814.0625,640000,4,4,0,0,6500,5,5,0,0.377,3.46,2,11.88153688,0.075188264,1717.45484
-2.69,600,6.709635892,14.80519502,185.5,6,556068.49,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,10.76829248,0.734260394,1637.860007
-2.551,600,6.949384388,8.6015,212,8,3010225,810000,16,0,0,0,3400,8,0,0,0.426,2.66,2,13.3571024,0.350037164,1306.973419
-2.477,600,7.068918856,14.26019502,190.5,6,488670.9025,2560000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.0829595,0.300753057,1676.925874
-2.362,600,5.68673269,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,12.1878326,1,1672.806654
-2.266,600,6.819963595,12.98519502,188,8,346332.25,5062500,1,1,0,0,6500,5,5,0,0.377,3.46,2,11.37606086,0.749827817,1630.886672
-2.21,800,6.055751177,14.26019502,190.5,6,488670.9025,2560000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.71906999,0.284379143,1495.936012
-2.172,800,4.245782373,12.586,185,12,2290076.89,4410000,9,2.25,0,0,5500,9,3,0,-1.4,3.31,2,12.11786993,1.211815892,1223.233758
-2.02,700,2.355668427,12.3165,166.5,2,1594128.458,13322500,1,1,0,0,8000,2,2,0,-2.4,2.29,2,12.67402927,1,1879.508109
-2.014,500,4.245782373,12.586,185,12,2290076.89,4410000,9,2.25,0,0,5500,9,3,0,-1.4,3.31,2,11.17786267,3.317868339,1482.513304
-1.84,600,8.356280164,12.65796096,195.5,11,986644.89,16810000,6.25,2.25,0,0,9500,8,3,0,-1.4,4.039,2,13.71729601,1,1599.525524
-1.649,800,6.05014633,13.29519502,197,6,404814.0625,640000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.72975071,0.071094786,1524.677223
-1.621,700,8.090510191,18.72019502,171.5,6,676498.025,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,13.51611851,0.713713384,1604.345154
-1.598,700,6.949384388,8.6015,212,8,3010225,810000,16,0,0,0,3400,8,0,0,0.426,2.66,2,13.66540376,0.329418272,1232.820507
-1.589,500,7.889818782,12.075,191.5,8,214832.25,1822500,0,4,0.25,0.25,3200,4,4,1,1.05,2.7,1,13.12291778,0.615709459,1888.244135
-1.531,1000,2.530430196,15.096,164.5,2,266844.5649,490000,0,0.25,0.25,0.25,2900,1,1,1,0.618049,3.49,1,15.28386845,0.08170286,933.4044547
-1.528,500,8.356280164,12.65796096,195.5,11,986644.89,16810000,6.25,2.25,0,0,9500,8,3,0,-1.4,4.039,2,13.3526529,1,1777.304888
-1.499,500,6.819963595,12.98519502,188,8,346332.25,5062500,1,1,0,0,6500,5,5,0,0.377,3.46,2,11.01141775,0.778068086,1779.241253
-1.489,700,7.889818782,12.075,191.5,8,214832.25,1822500,0,4,0.25,0.25,3200,4,4,1,1.05,2.7,1,13.79586225,0.501789648,1701.354323
-1.483,600,5.969066765,11.25801001,197.5,14,3436574.44,16810000,16,2.25,0,0,9500,11,3,0,-1.4,3.67,2,12.56067279,1,1613.234548
-1.33,800,5.7166201,14.80519502,185.5,6,556068.49,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,13.21967504,0.694285016,1464.844193
-1.297,1000,5.68673269,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,13.20948384,1,1292.188596
-1.095,500,5.150549586,11.429,196.5,12,50625,2102500,4,4,0,0,3400,8,4,0,0.426,3.23,2,12.49123362,1.245901316,4714.146444
-1.067,500,3.870625262,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1,13.62961186,0.078206183,1440.369593
-0.897,700,6.979307319,13.29519502,197,6,404814.0625,640000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.18983824,0.073084251,1607.296202
-0.886,800,5.96970124,8.427623128,214,12,2036329,9610000,9,2.25,0,0,9500,9,3,0,0.47,3.75,2,13.56867157,1,1316.552412
-0.878,700,6.709635892,14.80519502,185.5,6,556068.49,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,11.07659384,0.713713384,1538.993827
-0.874,500,7.229507537,11.25801001,197.5,14,3436574.44,16810000,16,2.25,0,0,9500,11,3,0,-1.4,3.67,2,13.14824874,1,1801.803125
-0.848,600,7.889818782,12.075,191.5,8,214832.25,1822500,0,4,0.25,0.25,3200,4,4,1,1.05,2.7,1,13.48756089,0.552942961,1779.225078
-0.83,700,7.068918856,14.26019502,190.5,6,488670.9025,2560000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.39126086,0.292337002,1573.503096
-0.759,600,4.60189752,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,12.17641519,1,1672.806654
-0.741,1000,4.553779458,21.3625,163,24,1079991,16875,0,0.1875,0.1875,0.1875,1500,1,1,1,1.302,4.09,1,15.22110979,0.008244778,947.4810544
-0.602,800,6.949384388,8.6015,212,8,3010225,810000,16,0,0,0,3400,8,0,0,0.426,2.66,2,13.93246654,0.311093359,1177.205824
-0.583,1000,5.150549586,11.429,196.5,12,50625,2102500,4,4,0,0,3400,8,4,0,0.426,3.23,2,13.87752798,0.871779633,3834.882748
