,elem1,elem2,elem3,elem4,comp1,comp2,comp3,comp4,melt_point
0,Lu,Ag,O,Vac,25.0,25.0,50.0,0.0,1331.3289794921875
1,K,In,O,Vac,25.0,25.0,50.0,0.0,1401.611083984375
2,Cs,B,O,Vac,42.857142857142854,14.285714285714285,42.857142857142854,0.0,957.08837890625
3,Rb,Ga,O,Vac,50.0,10.0,40.0,0.0,1075.9273681640625
4,Ba,Nb,Fe,O,20.0,10.0,10.0,60.0,1762.5394287109375
5,K,Sn,O,Vac,16.666666666666664,25.0,58.333333333333336,0.0,1427.4573974609375
6,Sr,Bi,O,Vac,57.14285714285714,28.57142857142857,14.285714285714285,0.0,1288.5008544921875
7,Ca,Pd,O,Vac,36.36363636363637,9.090909090909092,54.54545454545454,0.0,1655.7886962890625
8,Mg,Co,Ni,O,43.75,3.125,3.125,50.0,1717.678955078125
9,Li,Mg,Co,O,1.5625,46.875,1.5625,50.0,1515.3431396484375
10,Sr,Cd,Pt,O,27.27272727272727,9.090909090909092,9.090909090909092,54.54545454545454,1480.760009765625
11,Rb,Au,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,844.447998046875
12,Co,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1214.330322265625
13,Ge,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1245.92724609375
14,Sr,Ca,Ti,O,17.5,2.5,20.0,60.0,1778.5283203125
15,Ba,Sr,Ti,O,7.5,12.5,20.0,60.0,2060.2705078125
16,K,Na,Ta,O,12.5,7.5,20.0,60.0,1469.879638671875
17,Hg,O,Vac,Vac,50.0,50.0,0.0,0.0,1044.97119140625
18,Ba,Te,O,Vac,50.0,25.0,25.0,0.0,1668.1448974609375
19,Li,La,Fe,O,10.0,20.0,10.0,60.0,1816.822998046875
20,Bi,S,O,Vac,40.0,40.0,20.0,0.0,994.4371337890625
21,Ba,Lu,Bi,O,20.0,10.0,10.0,60.0,1759.833984375
22,La,Bi,S,O,20.0,20.0,40.0,20.0,1309.6605224609375
23,Ba,Zn,Te,O,20.0,10.0,10.0,60.0,1139.835693359375
24,Ba,Zr,Ti,O,20.0,10.0,10.0,60.0,2187.350830078125
25,Sr,Mg,Mo,O,20.0,10.0,10.0,60.0,1564.9639892578125
26,Gd,Zn,As,O,25.0,25.0,25.0,25.0,1582.718994140625
27,La,Fe,O,Vac,20.0,20.0,60.0,0.0,2094.4248046875
28,La,Mn,Se,O,22.22222222222222,22.22222222222222,22.22222222222222,33.33333333333333,1351.30322265625
29,Hg,Se,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,816.9566040039062
30,Sr,Li,Re,O,20.0,10.0,10.0,60.0,1105.5487060546875
31,Sr,Zr,Mn,O,20.0,10.0,10.0,60.0,1953.619873046875
32,Sc,Al,C,O,25.0,25.0,25.0,25.0,778.24072265625
33,Cs,Fe,O,Vac,25.0,25.0,50.0,0.0,1089.501708984375
34,Ba,Na,I,O,20.0,10.0,10.0,60.0,832.1954956054688
35,Sr,Al,O,Vac,20.33898305084746,23.728813559322035,55.932203389830505,0.0,2337.5419921875
36,Ba,Sm,Mo,O,20.0,10.0,10.0,60.0,1402.1551513671875
37,Sr,Mn,Mo,O,20.0,10.0,10.0,60.0,1614.8944091796875
38,Sr,Fe,S,O,16.666666666666664,33.33333333333333,33.33333333333333,16.666666666666664,1413.213134765625
39,K,Pd,O,Vac,16.666666666666664,33.33333333333333,50.0,0.0,975.5806274414062
40,Tb,Ti,S,O,18.181818181818183,18.181818181818183,18.181818181818183,45.45454545454545,1603.5101318359375
41,Ba,Ag,O,Vac,20.0,40.0,40.0,0.0,1083.433349609375
42,Cs,Ag,O,Vac,25.0,25.0,50.0,0.0,801.8309326171875
43,Ga,Ag,O,Vac,25.0,25.0,50.0,0.0,1083.396484375
44,Ga,Fe,B,O,11.11111111111111,22.22222222222222,11.11111111111111,55.55555555555556,1340.3125
45,Ba,Sr,Ti,O,2.5,17.5,20.0,60.0,2082.283203125
46,Tm,Pt,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,1774.2154541015625
47,Tm,Te,O,Vac,40.0,20.0,40.0,0.0,1650.1220703125
48,Sr,Ta,N,O,20.0,20.0,20.0,40.0,812.666748046875
49,Ni,Bi,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,1225.253173828125
50,Sn,P,O,Vac,7.6923076923076925,23.076923076923077,69.23076923076923,0.0,1910.5377197265625
51,Nb,Pb,O,Vac,15.873015873015872,22.22222222222222,61.904761904761905,0.0,1445.5054931640625
52,Ga,Cu,O,Vac,25.0,25.0,50.0,0.0,1491.654541015625
53,Ga,Ag,O,Vac,25.0,25.0,50.0,0.0,1083.396484375
54,Sc,Ag,O,Vac,25.0,25.0,50.0,0.0,1115.9754638671875
55,Na,Ag,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,846.7811889648438
56,K,Cu,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,838.17919921875
57,Ba,Fe,P,O,7.6923076923076925,15.384615384615385,15.384615384615385,61.53846153846154,1818.35546875
58,Ba,Sb,H,O,53.333333333333336,26.666666666666668,13.333333333333334,6.666666666666667,1302.6348876953125
59,Ba,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1545.381591796875
60,Sm,Fe,O,Vac,30.0,10.0,60.0,0.0,1954.23583984375
61,Y,Cr,Cu,O,5.0,20.0,15.0,60.0,1637.4178466796875
62,La,Cr,Cu,O,5.0,20.0,15.0,60.0,1702.0228271484375
63,Ba,In,Ga,O,22.22222222222222,11.11111111111111,11.11111111111111,55.55555555555556,1865.4156494140625
64,Ba,Tb,Mn,O,11.11111111111111,11.11111111111111,22.22222222222222,55.55555555555556,2017.5660400390625
65,Ba,Co,Re,O,21.052631578947366,5.263157894736842,10.526315789473683,63.1578947368421,1024.53173828125
66,Eu,Zr,O,Vac,20.0,20.0,60.0,0.0,2634.2705078125
67,Na,Cu,S,O,55.55555555555556,11.11111111111111,11.11111111111111,22.22222222222222,991.3646240234375
68,K,Fe,O,Vac,15.384615384615385,30.76923076923077,53.84615384615385,0.0,1325.3751220703125
69,Na,C,O,Vac,20.0,20.0,60.0,0.0,776.231201171875
70,K,Cu,Te,O,11.11111111111111,11.11111111111111,11.11111111111111,66.66666666666666,907.6395263671875
71,Ba,Nb,Bi,O,20.0,10.0,10.0,60.0,1505.1158447265625
72,Ag,Se,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,697.3889770507812
73,Ca,Si,O,Vac,60.0,20.0,20.0,0.0,1776.5098876953125
74,Yb,Sn,O,Vac,60.0,20.0,20.0,0.0,1766.2802734375
75,Yb,Pb,O,Vac,60.0,20.0,20.0,0.0,1720.7001953125
76,Ba,Ti,B,O,10.0,10.0,20.0,60.0,1718.74462890625
77,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
78,Mn,Ge,O,Vac,35.0,5.0,60.0,0.0,1620.384033203125
79,Nb,Pb,O,Vac,20.0,15.0,65.0,0.0,1537.8155517578125
80,Na,Fe,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,1327.0106201171875
