,ID,Name,XG_500,XG_600,XG_700,XG_800,XG_900,XG_1000
0,mp-1018025,LuAgO2,3.8283286,3.6520948,3.6520948,3.6413522,3.960519,4.028736
1,mp-1018031,KInO2,5.7311807,5.7311807,5.7311807,5.7311807,5.7311807,5.7311807
2,mp-1021504,Ba2NbFeO6,1.1848997,1.1848997,1.1848997,1.1848997,1.1848997,1.1848997
3,mp-1024073,K2Sn3O7,5.7597613,5.6481986,5.804696,5.804696,5.804696,5.772571
4,mp-1025351,Sr4Bi2O,5.189212,5.195758,5.195758,5.195758,5.195758,5.1479445
5,mp-10299,Ca4PdO6,5.9935904,6.0771556,6.183131,6.263522,6.2235947,6.2830515
6,mp-1035281,Mg14CoNiO16,4.501652,4.6833754,4.6833754,4.6833754,4.6590657,4.6956525
7,mp-1037086,LiMg30CoO32,4.562392,4.805123,4.88639,5.002538,4.96918,4.84666
8,mp-10392,Sr3CdPtO6,5.4470706,5.367487,5.176586,5.154615,5.179787,5.0126753
9,mp-1062939,CoO2,2.5273504,2.3078425,2.2410815,2.0604956,2.0712383,2.2316904
10,mp-1072104,GeO2,4.543705,4.771515,4.771515,4.771515,4.771515,4.771515
11,mp-1075922,Sr7CaTi8O24,4.512372,4.411329,4.363074,4.4076624,4.4645762,4.420065
12,mp-1075943,Ba3Sr5Ti8O24,1.4283118,1.3507633,1.2849026,1.3036075,1.0405371,0.9970008
13,mp-1076510,K5Na3Ta8O24,4.064431,4.159443,4.159443,4.044002,3.956615,3.9779158
14,mp-1078191,Ba2TeO,4.842203,4.842203,4.842203,4.842203,4.842203,4.842203
15,mp-1078209,LiLa2FeO6,3.3620217,3.319411,3.265139,3.265139,3.265139,3.5234013
16,mp-1078394,Ba2LuBiO6,2.5009205,2.5009205,2.4543862,2.481413,2.481413,2.481413
17,mp-1078397,LaBiS2O,1.7630645,1.5935684,1.8917276,2.0882764,2.0985413,2.0985413
18,mp-1078457,Ba2ZrTiO6,1.9756998,1.7800101,1.8788561,1.9276892,1.9302245,1.8312033
19,mp-1078539,Sr2MgMoO6,4.0665164,4.2078424,4.2078424,4.173136,4.173136,4.173136
20,mp-1078542,GdZnAsO,1.2269908,1.1417614,1.114806,0.99408937,1.0331508,1.0697373
21,mp-1078634,LaFeO3,3.3234744,3.3629112,3.3629112,3.3999317,3.4738514,3.5119112
22,mp-1079069,La2Mn2Se2O3,1.7700204,1.5617229,1.834345,1.8306326,1.8306326,2.0550606
23,mp-1080730,Sr2ZrMnO6,4.278953,4.2407274,4.259272,4.169621,4.169621,3.9739275
24,mp-1094063,Sr12Al14O33,5.814628,5.814628,5.814628,5.814628,5.814628,5.814628
25,mp-1095110,Ba2SmMoO6,0.630375,1.263266,1.194446,1.194446,1.1804785,1.1221863
26,mp-1095141,Sr2MnMoO6,4.8294115,4.966959,4.932158,4.991615,4.9721847,5.042825
27,mp-1095280,SrFe2S2O,2.9657443,3.0052698,2.967009,3.0200114,2.9341683,2.9465482
28,mp-10960,Tb2Ti2S2O5,-0.18381725,-0.07611343,-0.07611343,-0.07183236,-0.16668062,-0.15037628
29,mp-1097025,GaFe2BO5,3.622825,3.462556,3.4957392,3.5982814,3.4446855,3.1895847
30,mp-1099778,BaSr7Ti8O24,3.308051,3.2070074,2.9304616,3.0090094,2.9247336,2.850537
31,mp-1101257,Tm2Pt2O7,3.7300978,3.7005937,3.6781662,3.628257,4.057492,4.0838366
32,mp-1101266,Tm2TeO2,3.1228511,3.775224,3.7716222,3.7716222,3.7608795,4.080048
33,mp-1101457,Ni(BiO3)2,3.9648523,4.2394915,4.278379,4.404254,4.029835,4.137089
34,mp-1101518,Sn(PO3)3,3.518515,3.518515,3.518515,3.518515,3.518515,3.518515
35,mp-1101724,Nb10Pb14O39,3.952737,3.8233585,3.8233585,3.9010165,3.8243628,3.8243628
36,mp-11019,GaCuO2,4.795551,4.968147,5.0721316,5.0721316,5.1092763,5.1092763
37,mp-1103865,BaFe2(PO4)2,4.565999,4.3873515,4.191191,4.1870227,3.920712,3.9448318
38,mp-1104424,Ba8Sb4H2O,2.7651193,2.849648,3.1731331,3.290971,3.3587105,3.2717814
39,mp-1105,BaO2,5.7938538,5.7938538,5.7938538,5.7938538,5.7938538,5.7938538
40,mp-1105484,Sm3FeO6,2.2824018,2.1927896,2.0755575,2.0755575,2.0755575,2.1121442
41,mp-1105560,YCr4(CuO4)3,-1.7083203,-1.2859963,-1.2859963,-1.2591995,-0.8535022,-0.84283596
42,mp-1106068,LaCr4(CuO4)3,-1.3375202,-1.2241985,-1.2241985,-1.3887979,-1.2956151,-1.0231842
43,mp-1106089,Ba2InGaO5,5.7630043,5.9858103,5.9964986,6.0800643,6.0800643,6.0800643
44,mp-1106241,BaTbMn2O5,1.0961349,1.0961349,1.0488055,1.002531,1.0472002,1.5320721
45,mp-1106293,EuZrO3,1.6552716,1.7210315,1.7210315,1.7651128,1.7921394,1.9173607
46,mp-1120752,K2Fe4O7,4.92933,5.089113,4.881232,4.899982,4.949941,4.5734253
47,mp-1147642,Ba2NbBiO6,2.2246203,2.2246203,2.2647176,2.271044,2.607501,2.6496284
48,mp-11649,Ca3SiO,4.999876,5.0491443,5.0491443,5.0491443,5.0491443,5.0491443
49,mp-11651,Yb3SnO,3.1112583,3.2769482,3.2976992,3.370472,3.5010982,3.4106236
50,mp-11652,Yb3PbO,3.9233987,4.065907,4.5270476,4.7313075,4.771918,4.5433335
51,mp-11659,BaTi(BO3)2,5.4499745,5.3289733,5.2864566,5.3018737,5.178526,5.1093774
52,mp-1172828,WO3,2.0105271,1.9952217,1.9481155,1.8783342,1.9360594,1.9360594
53,mp-1172871,Mn7GeO12,6.3275895,6.3275895,6.3275895,6.3275895,6.3275895,6.3275895
54,mp-1173546,Nb4Pb3O13,2.760696,2.7445686,2.7445686,2.7445686,2.7445686,2.7957337
55,mp-1176484,Na2FeO3,4.8076763,4.8009768,4.847821,5.0092683,4.9401236,4.813116
56,mp-1176640,LiMnCrO4,5.4251976,5.4114513,5.3737464,5.3891635,5.245244,5.40458
57,mp-1177916,Li2MnCr3O8,5.47036,5.3987274,5.3853707,5.472149,5.453186,5.5065665
58,mp-1178042,Li2CoNi3O8,2.8202114,2.7926536,2.6830616,2.6962643,2.6226704,2.6247284
59,mp-1178173,Ho2TeO2,2.6793187,2.725184,3.1458387,3.3074555,3.1565728,3.3534174
60,mp-1178175,Ho2Pb2O7,3.4586737,3.7709079,3.8481352,3.8481352,4.1649914,4.1150823
61,mp-1178355,Er2TeO2,3.5384343,4.019014,4.130719,4.172477,4.34716,4.324148
62,mp-1178365,Dy2Pt2O7,4.0955834,4.1635895,4.4305325,4.3295584,4.886109,4.886109
63,mp-1178446,CoPO4,2.0553763,2.2271502,2.2942371,2.4893093,2.676281,2.5207963
64,mp-1178513,BaSnO3,6.1574683,6.1167984,6.1167984,6.1167984,6.1574683,6.1574683
65,mp-1182186,BaYMn2O5,3.389676,3.7827299,3.7653782,3.6841116,3.6367822,3.7117634
66,mp-1185179,Li10Co4O9,3.9541779,4.096777,4.2446175,4.183227,3.9695053,3.9293728
67,mp-1188765,BaErMn2O5,1.692806,2.23547,2.23547,2.1881406,2.1418653,2.1679275
68,mp-1188841,BaNb2V2O11,3.9532235,3.9532235,3.906376,3.906376,3.915832,3.906376
69,mp-1190246,Ir2Pb2O7,4.575996,4.859911,4.859911,4.859911,4.859911,4.859911
70,mp-1190827,Ba2CoGe2O7,-0.22666948,-0.34299135,-0.54628694,-0.41173333,-0.43257403,-0.4888326
71,mp-1191117,Gd3SbO7,1.2717497,1.80622,1.80622,1.80622,1.7954774,1.7954774
72,mp-1191189,Cd2Sb2O7,1.7115682,1.6395193,1.6029328,1.6029328,1.6029328,1.3721615
73,mp-1191317,Sr2CoGe2O7,-0.41531026,-0.38246804,-0.27010775,-0.42943382,-0.31961888,-0.9817256
74,mp-1191364,WO3,1.3336753,1.2878369,1.288546,1.2187644,1.263898,1.263898
75,mp-1191402,GdMnGe2O7,2.442506,2.6256752,2.6940038,2.79226,2.739168,2.739168
76,mp-1191787,LiCa3OsO6,0.69318724,0.64210427,0.616042,0.616042,0.6623173,0.6623173
77,mp-1191811,BaZnTe2O7,3.420866,2.5139415,2.5029323,2.4818387,2.4790936,1.9319249
78,mp-1191890,Gd3NbO7,1.0405613,1.2471415,1.2471415,1.2471415,1.2471415,1.3107549
79,mp-1192011,Sr3(CoO3)2,3.9657571,3.623034,2.9415112,2.9415112,2.8704033,2.8704033
80,mp-1193130,Na5Nd4Si4O17,3.5649114,3.4472837,3.6457975,3.7797625,3.8589852,3.809076
81,mp-1193745,CeAsO4F,3.2464235,3.216959,3.1676908,3.1442888,3.192544,3.2424893
82,mp-1194563,SrMn2V2O8,5.7571855,5.7822084,5.77804,5.703238,5.4907565,5.4907565
83,mp-1194612,YNb(TeO4)2,2.6406436,2.9235902,2.9235902,2.9235902,2.9235902,2.9269
84,mp-1194656,MnPb2WO6,3.6234725,3.5742042,3.6453264,3.6453264,3.6952717,3.7050836
85,mp-1194754,Gd2SeOF2,1.6321133,1.5227138,1.7457687,2.6297317,2.867129,2.905602
86,mp-1195436,Cd3BPO7,3.2986894,3.2974489,3.2400587,2.7529252,2.873955,2.9681594
87,mp-1195691,GdBe2B5O11,3.5997558,3.5997558,3.5997558,3.5997558,3.5997558,3.5997558
88,mp-1195767,Ca5P3O13,6.604801,6.604801,6.604801,6.604801,6.604801,6.604801
89,mp-1196010,Ho2Nb2S7O30,3.6220803,3.5854936,3.5854936,2.9708998,3.1122863,3.1122863
90,mp-1196201,Eu5B3O9F,5.573519,5.7034936,5.7795477,5.950529,5.8355002,5.77458
91,mp-1196301,La2Mn(SeO)2,1.7958516,1.7032708,1.9349939,1.9312829,2.0698678,2.1409693
92,mp-1196692,Ca5V3O13,6.1802635,6.126291,6.2164364,6.356925,6.3527565,6.3246484
93,mp-1196943,La2Zn(SeO)2,-0.6939851,-0.6341914,-0.6341914,-0.64835143,-0.80082655,-0.7642399
94,mp-1197371,BaNd2In2O7,1.9449208,2.0573046,2.0573046,2.101974,2.5868473,2.650474
95,mp-1197438,Pr3Fe5O12,-0.32472986,0.30277002,0.30277002,0.6734501,0.6734501,0.8906553
96,mp-1197485,Bi2W2O9,3.02332,3.1434438,3.1434438,3.058058,3.058058,3.024781
97,mp-1197728,Fe2B(PO4)3,2.4127562,2.3412006,2.792769,2.733207,2.541269,2.5912144
98,mp-1198371,NdCO4,3.5481231,3.3197916,3.2698824,3.9351387,3.9718373,3.9345438
99,mp-1198513,Pr2Nb2S7O30,3.2354364,3.2096915,3.2096915,2.617518,2.7777224,2.7777224
100,mp-1199771,Ce2Nb2S7O30,2.7790601,3.080713,3.0587142,3.0587142,3.0587142,3.0587142
101,mp-1200479,BaLuCo4O7,2.2722208,2.083993,2.083993,1.8978297,1.8978297,1.8978297
102,mp-1200651,BaLa2Ti3O10,-0.22432731,-0.22432731,-0.22432731,-0.22432731,-0.22432731,-0.037169263
103,mp-1200852,NaTi2(AsO4)3,3.8831453,3.92218,3.9180114,3.726072,3.749474,3.785573
104,mp-1201050,Sm2Nb2S7O30,3.5637543,3.5271676,3.613457,2.934994,3.0951989,3.0951989
105,mp-1201314,Li8Be6P7O29,1.9088472,1.9088472,1.9088472,1.9088472,1.9088472,1.9088472
106,mp-1201443,Cs3Nb9(TeO8)4,2.699207,2.557513,2.8460078,2.74552,2.74552,2.9256477
107,mp-1201675,Sr2Mn2SeO4,6.062794,6.062794,6.062794,6.062794,6.062794,6.062794
108,mp-1201849,Nd3Fe5O12,0.24189006,0.9714517,0.9714517,0.9714517,1.3421303,1.4066147
109,mp-1202070,Er2Nb2S7O30,3.61906,3.5824733,3.5824733,2.9678795,3.109266,3.1362927
110,mp-1202223,WO3,1.413242,1.3631412,1.3160349,1.2462534,1.2098655,1.2098655
111,mp-1202258,Nd2Nb2S7O30,3.5027938,3.466207,3.5524964,2.8740335,3.0342383,3.0342383
112,mp-1202414,Nd10Se14O,2.0668375,1.9808618,2.3627765,2.4578998,2.5831342,2.6693575
113,mp-1202692,Eu5B3ClO9,5.577401,5.6420197,5.718074,6.0348883,5.9198594,5.858938
114,mp-1203289,CsGeSbO5,6.253571,6.281894,6.0899887,6.0899887,5.9993305,5.908856
115,mp-1203636,BaPr2In2O7,1.8686738,1.9319332,1.9766026,2.4614756,2.4364676,2.539082
116,mp-1204194,Gd3MoO7,2.1100194,2.1255264,2.0454023,2.0202248,2.0094147,2.0973783
117,mp-1204213,Tb2Nb2S7O30,3.6220803,3.5854936,3.5854936,2.9520814,3.139313,3.139313
118,mp-1204264,In12Ga4Ir2O15,3.9546545,4.2046676,4.1325808,4.1325808,4.1325808,4.1325808
119,mp-1204595,Gd4Si2S3O7,3.4035563,3.8277626,3.8130877,3.8130877,3.802345,4.015252
120,mp-1204935,Dy2Nb2S7O30,3.828332,3.828332,3.828332,3.828332,3.7790637,3.7790637
121,mp-1205188,NdCO4,3.5904696,3.362138,3.312229,3.9774878,4.0141845,3.9768918
122,mp-1205330,Ca3SiO,5.3351336,5.229557,5.229557,5.1402955,5.1359,5.1359
123,mp-1205336,BaMnO3,5.535449,5.535449,5.535449,5.535449,5.535449,5.535449
124,mp-1205366,LuRhO3,4.2116003,4.510802,4.612291,4.9291425,4.8792334,5.387397
125,mp-1205468,BaNb8O14,2.7039843,2.6937017,2.8518808,2.9290261,2.9290261,2.8957493
126,mp-1205507,Eu2MgWO6,2.3586159,2.35296,2.3799868,2.3799868,2.3799868,2.4719312
127,mp-1205650,Ba2TaTlO6,5.330733,5.338353,5.3237195,5.127296,5.027814,5.107973
128,mp-1205671,Ba2TaFeO6,5.083914,5.099331,4.7682285,4.8355412,4.8885436,4.785833
129,mp-1205690,Sr2NbCrO6,0.020581393,0.020581393,-0.0892337,-0.0892337,-0.1981507,-0.1981507
130,mp-1205767,Sr2MnReO6,5.614452,5.6022253,5.1650524,5.389686,5.2193885,5.072819
131,mp-1205825,Ba2MgMoO6,1.5554559,1.6084583,1.6606104,1.6338136,1.6451142,1.5675657
132,mp-1205833,Ba2NbRhO6,2.4006002,2.4199982,3.065692,3.9811463,3.8624465,3.9609618
133,mp-1205934,Ba2YbMoO6,3.3325548,3.2825544,3.3115182,3.2100587,3.3068547,3.2393131
134,mp-1205947,Eu2TaAlO6,2.9312787,2.9190273,3.6950662,3.9913538,4.0001216,4.0408616
135,mp-1205991,LaBi2ClO4,1.9328883,2.0364544,2.5213275,2.5213275,2.5476866,2.5739872
136,mp-1206097,Ba2ZnMoO6,4.8269687,4.5775948,4.399018,4.127171,4.153198,4.050463
137,mp-1206536,Ba2InSbO6,6.593145,6.527235,6.880251,6.769943,6.7152224,6.778054
138,mp-1206645,Sr2TiMnO6,1.3690076,1.149133,1.3101826,1.241473,0.7566018,0.6794566
139,mp-1206730,Sr2MgMoO6,4.023349,4.1646748,4.1646748,4.1299686,4.1299686,4.1299686
140,mp-1206825,Lu2SeO2,3.9941466,3.962494,4.2816615,4.3831506,4.650094,4.733213
141,mp-1207040,Ba2InOsO6,4.5546174,3.9079196,3.6959164,3.6506104,3.5601413,3.5331147
142,mp-1207110,K2TaNbO6,2.706436,3.2395892,3.0664768,3.0383022,3.065099,3.065099
143,mp-1207114,K2TaNbO6,2.547697,3.08085,2.9647024,2.9365277,2.963325,2.963325
144,mp-1207469,ZnCuAsO5,2.8552923,2.8786943,2.8437245,3.1577492,2.9771626,2.9879053
145,mp-1207629,YRhO3,1.0289184,1.0213271,1.5061988,1.4811908,1.4830707,1.5530006
146,mp-1207651,YMnFeO5,-0.61851275,-0.47883463,-0.544965,-0.544965,-0.544965,-0.544965
147,mp-1207705,TmRhO3,3.5677521,3.516455,3.4940274,3.4441183,3.8733501,3.8419533
148,mp-1207709,YMnGaO5,3.664763,3.8417504,3.9514503,3.7603233,3.7104142,4.3095026
149,mp-1208390,Ta6Bi2O19,3.0677662,3.0457077,3.0072246,3.0497968,3.0497968,3.0497968
150,mp-1208610,Sr5P3O13,6.5002413,6.5002413,6.5002413,6.5002413,6.5002413,6.5002413
151,mp-1208663,SrP2PdO7,6.2939663,6.2939663,6.2939663,6.2939663,6.2939663,6.2939663
152,mp-1208733,Sr2TaCoO6,5.705537,4.2654934,4.186558,4.1595306,4.1154494,3.9096096
153,mp-1208736,Sr2ScBiO6,2.0644615,2.145058,1.8136609,1.8161473,1.7293851,1.6977441
154,mp-1208742,Sr4Mn3BO10,6.3483524,6.3483524,6.3483524,6.3483524,6.3483524,6.3483524
155,mp-1208834,Sr2CrSbO6,1.034841,1.034841,1.034841,1.034841,1.034841,1.034841
156,mp-1209329,PrVO3,0.41499507,0.32169032,0.29948032,0.29948032,0.4764744,0.5678125
157,mp-1209583,Rb2LaNb5O15,2.710524,2.6213021,2.689211,2.689211,2.642625,2.612141
158,mp-1209643,Sm3Sc2(FeO4)3,-0.79358786,-0.5858514,-0.452264,-0.452264,-0.452264,-0.41567707
159,mp-1209848,Nd2Pd2O5,2.754963,3.3287494,3.2192283,3.4160728,3.3973675,3.4076326
160,mp-1209906,NdSO,2.14058,2.3735666,2.4325273,2.539864,2.8130007,2.8092895
161,mp-1209949,Pr3Sc2(FeO4)3,-0.84104407,-0.7670418,-0.51006496,-0.56824446,-0.56824446,-0.52326524
162,mp-1210064,Nd2Ta3(SeO4)2,2.4846473,2.31874,2.8296015,3.8095326,3.8088424,3.6336598
163,mp-1210188,Nd2Ti3(BiO6)2,3.1671467,3.1671467,3.2410665,3.1871815,3.1871815,3.1871815
164,mp-1210576,Nd3Sc2(FeO4)3,-0.8857627,-0.74879014,-0.34291005,-0.39385003,-0.21323098,-0.16825162
165,mp-1210610,MgZn7O8,4.3899083,4.3899083,4.3899083,4.362881,4.3188,4.3188
166,mp-1210634,MgFeBO4,5.1190166,5.1095614,5.1534324,5.117412,5.095077,5.081496
167,mp-1210817,MnAlSiO5,5.3038177,5.3038177,5.293746,5.293746,5.3993225,5.3993225
168,mp-1210873,MnAlBiO5,5.797932,5.939665,5.939665,5.998932,5.998932,5.998932
169,mp-1211326,KSmTiO4,0.9068172,0.9527705,1.0924478,1.0924478,1.1430731,1.0339184
170,mp-1211470,Mn3Al2(GeO4)3,5.247023,5.247023,5.2969685,5.221927,5.2933455,5.462823
171,mp-1211538,KNdTiO4,2.3172657,2.3678913,2.490927,2.6308143,2.6989036,2.6186614
172,mp-1211581,La2Ta3(SeO4)2,2.7058911,3.0762613,3.2626133,3.4745743,3.4139132,3.2899365
173,mp-1211763,KGdTiO4,-0.60555696,-0.60555696,-0.60555696,-0.5562761,-0.46677965,-0.42082626
174,mp-1211901,KLaTiO4,1.5014638,1.7008241,1.7689131,1.7636703,1.7097853,1.6555134
175,mp-1212108,HoRhO3,3.2517602,3.1315727,3.5533085,3.5439792,3.505484,3.5479186
176,mp-1212488,GdCrGeO5,-0.3252931,-0.34422985,-0.34422985,-0.34422985,-0.34422985,-0.2906541
177,mp-1212640,GdInO3,2.4841115,2.4564962,2.4457536,2.4457536,2.490423,2.9098456
178,mp-1212781,Eu5P3O12F,5.637277,5.8591614,5.8591614,5.76932,5.6944976,5.539
179,mp-1212884,DyRhO3,3.7569246,3.9779232,3.8270388,4.3591313,4.3404264,4.2311916
180,mp-1212984,DyMnFeO5,2.9721687,2.9721687,2.9721687,3.0091891,3.0091891,2.9362783
181,mp-1213012,Eu(PO3)3,4.204481,4.0561852,3.3415616,3.5569034,3.5414863,3.460888
182,mp-1213022,ErRhO3,3.222741,3.0462484,3.4679842,3.4586549,3.4201598,3.4625943
183,mp-1213032,ErMnFeO5,3.533613,3.460703,3.460703,3.5346227,3.52898,3.52898
184,mp-1213328,Eu3Sc2Al3O12,2.3271704,2.4711618,2.4981885,2.4516027,2.4516027,2.5768244
185,mp-1213641,GdZr6(PO4)9,3.3831506,3.4242153,3.4242153,3.4242153,3.48399,3.48399
186,mp-1213979,Cd3Ga2(GeO4)3,2.4601417,2.5878208,2.1671467,2.0574434,2.1037188,2.1037188
187,mp-1214074,CaMnGeO4,6.6557097,6.6557097,6.6557097,6.6557097,6.6557097,6.6557097
188,mp-1214389,BaPb3O4,5.603982,5.603982,5.603982,5.603982,5.603982,5.603982
189,mp-1214414,BaP2PdO7,5.0271025,5.0271025,5.016414,5.016414,4.769532,4.6965785
190,mp-1214461,Ba4Li(BiO4)3,5.8174734,5.8174734,5.8174734,5.7624035,5.7624035,5.7624035
191,mp-1214485,Ba3Ta2CoO9,4.533594,4.5701246,4.346954,4.345068,3.4234586,3.0616708
192,mp-1214487,Ba3ZnSb2O9,1.7363695,1.7363695,1.7363695,1.7554151,1.7554151,1.7554151
193,mp-1214505,Ba3Ta2MnO9,5.1735563,5.1107244,5.2208414,5.1569285,4.8039126,4.823899
194,mp-1214531,Ba5Cr3O12F,4.209766,3.925195,3.892163,3.6007235,3.3322217,2.777353
195,mp-1214566,Ba3CoO5,3.4011946,3.260056,3.33556,2.6487255,2.0638409,1.9538574
196,mp-1214575,Ba5Mn3O12F,5.5172496,5.5172496,5.5172496,5.5172496,5.5172496,5.5172496
197,mp-1214967,Al2Cd3(GeO4)3,1.3780286,1.2625828,1.209367,1.2872336,0.8169955,0.7661047
198,mp-1215138,Cd3Fe2(GeO4)3,2.8963625,2.7415793,2.8431969,2.4844913,2.400557,2.417118
199,mp-1215623,ZnFe4CoO8,2.6668527,2.5891511,2.6552312,2.545528,2.5928574,2.1878266
200,mp-1215675,Zn4CoO5,2.3097813,2.086045,2.2231932,1.6884961,1.6992388,1.6992388
201,mp-1215745,Zn3Fe8CoO16,2.861437,2.7573297,2.8985138,2.860965,2.9582398,2.4048321
202,mp-1215777,Zn2CrFe3O8,1.6134405,1.4677446,1.2250726,1.1818092,0.80540276,0.7665416
203,mp-1215826,Zr2Sb2Pb4O13,4.737458,4.737458,4.737458,4.7874036,4.7473063,4.7473063
204,mp-1215842,ZnFe8Co3O16,2.405602,2.3279006,2.4608748,2.3511715,2.398501,2.631884
205,mp-1216201,Y2CrSbO7,-2.427073,-2.448336,-2.448336,-2.448336,-2.448336,-2.258061
206,mp-1216330,VFeSbO6,-0.6010512,-0.63161063,-0.6782526,-0.6782526,-0.6782526,-0.6782526
207,mp-1216357,VFe2(CuO2)3,1.8841716,1.8697175,1.8697175,1.7992128,1.6594063,1.6289304
208,mp-1216682,TiNi4GeO8,0.60728335,0.5262698,0.5262698,0.31174916,0.20204605,0.20204605
209,mp-1216859,TiCrSbO6,-0.018490862,-0.06513277,-0.06513277,-0.06513277,-0.06513277,-0.06513277
210,mp-1217119,Ti2MnNiO6,3.3944209,3.0851514,3.1121697,3.1125002,3.5978975,3.5645223
211,mp-1217219,Ti2Sb2Pb4O13,3.3094072,3.3094072,3.28413,3.207785,3.207785,3.2254071
212,mp-1217713,Tb2MnSbO7,2.875403,2.9310486,3.008276,3.0884204,3.0884204,2.9874468
213,mp-1217731,Tb2CrSbO7,2.9120383,2.9164433,2.9164433,2.9164433,2.9534638,2.9567738
214,mp-1217847,SrTi4Bi4O15,5.02839,4.906082,4.8284264,4.8757563,4.8757563,4.926963
215,mp-1218072,Ta4FeCoO12,3.4509706,3.3714592,2.8635085,2.5622966,2.609626,2.5601358
216,mp-1218132,Ta3Sb(PO4)6,3.382034,3.382034,3.382034,3.382034,3.382034,3.566364
217,mp-1218137,SrNdCrO4,2.0613046,2.108823,2.1786354,2.2245886,2.358176,2.361486
218,mp-1218189,SrLaCrO4,1.4821817,1.5127085,1.5127085,1.6342958,1.5408736,1.5307914
219,mp-1218382,Sr4Bi2O,5.189212,5.195758,5.195758,5.195758,5.195758,5.1479445
220,mp-1218412,Sr4TaFeO8,2.9188604,2.8420925,2.852444,2.6396751,2.6512244,2.8242698
221,mp-1218429,Sr4Fe3ReO12,5.1430855,5.1650944,4.8469543,4.3448076,4.1657624,4.250999
