,ID,Name,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
0,mp-1018025,LuAgO2,500,8.244932754,15.05625,184.75,14,2404447.979,14491875,10.25,1,0.1875,0.1875,9500,9,2,1,0.34,3.51,1,12.90830975,1,1995.801425
1,mp-1018031,KInO2,500,5.098025304,14.21325,193,10,861076.559,1320000,2.25,3.1875,0.1875,0.1875,3300,5,5,1,0.3,4.59,1,13.66112935,0.833333333,973.825128
2,mp-1021504,Ba2NbFeO6,500,6.221341094,15.7562,187,46,2625989.214,5790900,3.61,0.96,0.09,0.09,8500,7,2,1,0.14462,2.87,1,12.36024324,2.649949201,2388.36454
3,mp-1024073,K2Sn3O7,500,5.123052157,15.88083333,188.75,112,1059629.903,816875,1.055555556,1.638888889,0.138888889,0.138888889,2600,4,4,1,0.50147,5.23,1,13.98760872,1.146864433,818.1743439
4,mp-1025351,Sr4Bi2O,500,5.731081437,9.705714286,223.1428571,8,339928.9326,2255510.204,1.836734694,1.836734694,0,0,5300,3,3,0,0.048,4.75,2,13.46930327,0.619909633,1108.629027
5,mp-10299,Ca4PdO6,500,4.180042734,14.72854545,186,24,1189205.583,2670578.512,0.991735537,0.991735537,0,0.330578512,3900,2,2,0,0.02455,3.89,0,13.46447448,3.917972943,1148.411421
6,mp-1035281,Mg14CoNiO16,500,3.855166132,14.7123125,164.09375,37,712954.4395,5472802.734,1.069335938,1,0,0,5300,3,2,0,0.66225646,2.51,2,12.69564773,1,1911.108694
7,mp-1037086,LiMg30CoO32,500,3.534170169,14.518,163.0625,68,485409.4894,5575458.984,1.02734375,1,0.015380859,0.015380859,5300,3,2,1,0.618049,2.51,1,12.88796088,1,1946.099885
8,mp-10392,Sr3CdPtO6,500,6.820408601,14.94545455,190,28,1441980.815,3663801.653,0.925619835,0.991735537,0.082644628,0.082644628,5500,2,2,1,0.048,2.98,1,12.78822319,3.022048144,1788.53883
9,mp-1062939,CoO2,500,4.223798884,17.86,168,28,2071033.088,1502222.222,0.222222222,0.888888889,0,0,3100,3,2,0,0.66225646,2.51,2,12.3637871,1.096743288,1751.484582
10,mp-1072104,GeO2,500,5.967763542,18.17333333,171.6666667,16,2017116.466,5120000,0.888888889,0.888888889,0,0,5300,4,4,0,1.232712,5.66,2,14.11715427,1.019450843,911.6253594
11,mp-1075922,Sr7CaTi8O24,500,4.82921678,15.59945,182.75,112,1887234.541,2029993.75,7.36,0.96,0,0,4200,8,2,0,0.02455,2.95,2,11.69955351,9.710333405,1704.096583
12,mp-1075943,Ba3Sr5Ti8O24,500,5.328764881,15.5527,184.625,112,1909866.48,1659100,7.36,0.96,0,0,4200,8,2,0,0.048,2.95,2,7.308788959,6.423151374,1719.296711
13,mp-1076510,K5Na3Ta8O24,500,6.720705755,15.33,187,112,4743832.196,546975,4.56,0.96,0.16,0.16,2300,7,2,1,0.322,3.31,1,11.66737491,1.310018904,1208.919786
14,mp-1078191,Ba2TeO,500,5.206359499,11.1355,223.5,8,552257.3855,1142500,1,1,0,0,3000,2,2,0,0.14462,4.45,2,13.49845834,0.851385691,951.5762243
15,mp-1078209,LiLa2FeO6,500,6.209023832,15.17424925,178.4,70,2351987.319,12164100,8.05,0.96,0.09,0.09,9500,9,2,1,0.151,2.87,1,12.34000749,1,2418.339534
16,mp-1078394,Ba2LuBiO6,500,7.836736206,15.6937,187.9,24,1451986.648,8119600,5.64,1.05,0,0,9500,9,3,0,0.14462,3.51,2,12.76696877,1.825711649,2142.844404
17,mp-1078397,LaBiS2O,500,6.097899749,13.53104925,192.4,36,1660932.846,12758400,7.44,0.96,0,0,9500,9,3,0,0.47,3.75,2,12.51771263,1,1895.434334
18,mp-1078457,Ba2ZrTiO6,500,5.935492496,15.456,188.2,28,2583774.933,1404500,7.36,0.96,0,0,3400,8,2,0,0.079,2.95,2,11.86666586,2.566904258,1599.402203
19,mp-1078539,Sr2MgMoO6,500,5.084831211,15.5906,180,18,2105375.363,3414900,2.76,0.96,0.09,0.09,5300,6,2,1,0.048,3.15,1,11.93217855,2.023338029,1656.390547
20,mp-1078542,GdZnAsO,500,7.206815381,12.5581846,193,42,1653021.226,12111875,39.6875,1.6875,0,0,9500,16,3,0,0.804,2.66,2,12.92134224,1,2957.313336
21,mp-1078634,LaFeO3,500,6.481861666,15.69904925,180.6,38,2641944.92,12169600,7.36,0.96,0,0,9500,9,2,0,0.151,2.87,2,12.60106013,1,2470.425183
22,mp-1079069,La2Mn2Se2O3,500,5.920923796,13.44338806,192.4444444,38,1948220.742,12035061.73,7.950617284,0.987654321,0,0,9500,9,2,0,0.47,3.75,2,12.66784429,1,1871.357735
23,mp-1080730,Sr2ZrMnO6,500,5.361558203,15.7698,183.8,50,2062276.769,2400400,5.05,0.96,0,0,4200,8,2,0,0.048,3.23,2,11.68471733,5.291887125,1548.961003
24,mp-1094063,Sr12Al14O33,500,3.37541278,15.36891525,179.3220339,136,1267771.615,2044222.924,2.85607584,2.85607584,0,0,4200,5,5,0,0.048,4.05,2,13.79802145,8.868419769,1153.879366
25,mp-1095110,Ba2SmMoO6,500,6.411945982,15.44779219,190.1,26,2267639.973,7182900,5.64,0.96,0.09,0.09,9500,8,2,1,0.14462,3.15,1,11.95466575,1.727448112,2344.670166
26,mp-1095141,Sr2MnMoO6,500,5.261191863,15.86,183.2,46,2235318.361,2138400,3.21,0.96,0.09,0.09,4200,6,2,1,0.048,3.15,1,11.58981573,4.41564318,1559.529278
27,mp-1095280,SrFe2S2O,500,3.715354034,13.15916667,194.8333333,28,1311023.67,1764722.222,1.888888889,1,0,0,4200,4,2,0,0.048,2.87,2,12.81856218,2.414781366,1660.464952
28,mp-10960,Tb2Ti2S2O5,500,5.549563216,15.23294241,182.5454545,40,2365998.71,11625123.97,5.504132231,0.925619835,0,0,9500,8,2,0,0.079,2.95,2,10.7354444,1,2390.31074
